Id,ActivityHour,Calories,hour
1503960366,2016-04-12 00:00:00,81,0
1503960366,2016-04-12 01:00:00,61,1
1503960366,2016-04-12 02:00:00,59,2
1503960366,2016-04-12 03:00:00,47,3
1503960366,2016-04-12 04:00:00,48,4
1503960366,2016-04-12 05:00:00,48,5
1503960366,2016-04-12 06:00:00,48,6
1503960366,2016-04-12 07:00:00,47,7
1503960366,2016-04-12 08:00:00,68,8
1503960366,2016-04-12 09:00:00,141,9
1503960366,2016-04-12 10:00:00,99,10
1503960366,2016-04-12 11:00:00,76,11
1503960366,2016-04-12 12:00:00,73,12
1503960366,2016-04-12 13:00:00,66,13
1503960366,2016-04-12 14:00:00,110,14
1503960366,2016-04-12 15:00:00,151,15
1503960366,2016-04-12 16:00:00,76,16
1503960366,2016-04-12 17:00:00,83,17
1503960366,2016-04-12 18:00:00,124,18
1503960366,2016-04-12 19:00:00,104,19
1503960366,2016-04-12 20:00:00,132,20
1503960366,2016-04-12 21:00:00,100,21
1503960366,2016-04-12 22:00:00,65,22
1503960366,2016-04-12 23:00:00,81,23
1503960366,2016-04-13 00:00:00,69,0
1503960366,2016-04-13 01:00:00,48,1
1503960366,2016-04-13 02:00:00,47,2
1503960366,2016-04-13 03:00:00,53,3
1503960366,2016-04-13 04:00:00,47,4
1503960366,2016-04-13 05:00:00,47,5
1503960366,2016-04-13 06:00:00,48,6
1503960366,2016-04-13 07:00:00,59,7
1503960366,2016-04-13 08:00:00,69,8
1503960366,2016-04-13 09:00:00,136,9
1503960366,2016-04-13 10:00:00,77,10
1503960366,2016-04-13 11:00:00,84,11
1503960366,2016-04-13 12:00:00,82,12
1503960366,2016-04-13 13:00:00,72,13
1503960366,2016-04-13 14:00:00,128,14
1503960366,2016-04-13 15:00:00,79,15
1503960366,2016-04-13 16:00:00,71,16
1503960366,2016-04-13 17:00:00,87,17
1503960366,2016-04-13 18:00:00,118,18
1503960366,2016-04-13 19:00:00,73,19
1503960366,2016-04-13 20:00:00,47,20
1503960366,2016-04-13 21:00:00,48,21
1503960366,2016-04-13 22:00:00,74,22
1503960366,2016-04-13 23:00:00,135,23
1503960366,2016-04-14 00:00:00,56,0
1503960366,2016-04-14 01:00:00,54,1
1503960366,2016-04-14 02:00:00,47,2
1503960366,2016-04-14 03:00:00,47,3
1503960366,2016-04-14 04:00:00,47,4
1503960366,2016-04-14 05:00:00,47,5
1503960366,2016-04-14 06:00:00,47,6
1503960366,2016-04-14 07:00:00,47,7
1503960366,2016-04-14 08:00:00,47,8
1503960366,2016-04-14 09:00:00,93,9
1503960366,2016-04-14 10:00:00,109,10
1503960366,2016-04-14 11:00:00,64,11
1503960366,2016-04-14 12:00:00,85,12
1503960366,2016-04-14 13:00:00,137,13
1503960366,2016-04-14 14:00:00,113,14
1503960366,2016-04-14 15:00:00,66,15
1503960366,2016-04-14 16:00:00,88,16
1503960366,2016-04-14 17:00:00,61,17
1503960366,2016-04-14 18:00:00,72,18
1503960366,2016-04-14 19:00:00,55,19
1503960366,2016-04-14 20:00:00,91,20
1503960366,2016-04-14 21:00:00,174,21
1503960366,2016-04-14 22:00:00,79,22
1503960366,2016-04-14 23:00:00,50,23
