Id,ActivityHour,StepTotal,hour
1503960366,2016-04-12 00:00:00,373,0
1503960366,2016-04-12 01:00:00,160,1
1503960366,2016-04-12 02:00:00,151,2
1503960366,2016-04-12 03:00:00,0,3
1503960366,2016-04-12 04:00:00,0,4
1503960366,2016-04-12 05:00:00,0,5
1503960366,2016-04-12 06:00:00,0,6
1503960366,2016-04-12 07:00:00,0,7
1503960366,2016-04-12 08:00:00,250,8
1503960366,2016-04-12 09:00:00,1864,9
1503960366,2016-04-12 10:00:00,676,10
1503960366,2016-04-12 11:00:00,360,11
1503960366,2016-04-12 12:00:00,253,12
1503960366,2016-04-12 13:00:00,221,13
1503960366,2016-04-12 14:00:00,1166,14
1503960366,2016-04-12 15:00:00,2063,15
1503960366,2016-04-12 16:00:00,344,16
1503960366,2016-04-12 17:00:00,489,17
1503960366,2016-04-12 18:00:00,1386,18
1503960366,2016-04-12 19:00:00,558,19
1503960366,2016-04-12 20:00:00,1733,20
1503960366,2016-04-12 21:00:00,684,21
1503960366,2016-04-12 22:00:00,89,22
1503960366,2016-04-12 23:00:00,338,23
1503960366,2016-04-13 00:00:00,144,0
1503960366,2016-04-13 01:00:00,0,1
1503960366,2016-04-13 02:00:00,0,2
1503960366,2016-04-13 03:00:00,36,3
1503960366,2016-04-13 04:00:00,0,4
1503960366,2016-04-13 05:00:00,0,5
1503960366,2016-04-13 06:00:00,0,6
1503960366,2016-04-13 07:00:00,126,7
1503960366,2016-04-13 08:00:00,275,8
1503960366,2016-04-13 09:00:00,1679,9
1503960366,2016-04-13 10:00:00,295,10
1503960366,2016-04-13 11:00:00,524,11
1503960366,2016-04-13 12:00:00,486,12
1503960366,2016-04-13 13:00:00,302,13
1503960366,2016-04-13 14:00:00,1577,14
1503960366,2016-04-13 15:00:00,493,15
1503960366,2016-04-13 16:00:00,299,16
1503960366,2016-04-13 17:00:00,695,17
1503960366,2016-04-13 18:00:00,1343,18
1503960366,2016-04-13 19:00:00,258,19
1503960366,2016-04-13 20:00:00,0,20
1503960366,2016-04-13 21:00:00,0,21
1503960366,2016-04-13 22:00:00,437,22
1503960366,2016-04-13 23:00:00,1766,23
1503960366,2016-04-14 00:00:00,81,0
1503960366,2016-04-14 01:00:00,58,1
1503960366,2016-04-14 02:00:00,0,2
1503960366,2016-04-14 03:00:00,0,3
1503960366,2016-04-14 04:00:00,0,4
1503960366,2016-04-14 05:00:00,0,5
1503960366,2016-04-14 06:00:00,0,6
1503960366,2016-04-14 07:00:00,0,7
1503960366,2016-04-14 08:00:00,0,8
1503960366,2016-04-14 09:00:00,902,9
1503960366,2016-04-14 10:00:00,1106,10
1503960366,2016-04-14 11:00:00,50,11
1503960366,2016-04-14 12:00:00,501,12
1503960366,2016-04-14 13:00:00,1779,13
